die Ampel,traffic lights
die Ankunftszeit,arrival time
die Ansage,announcement
die Apotheke,pharmacy
der Arzt,doctor
die Ärztin,female doctor
die Auskunft,information
außerdem,moreover
außerplanmäßig,unscheduled
das Auto,car
die Bahn,train
der Bahnhof,train station
der Ball,ball
die Bank,bank
bezahlen,to pay
die Bibliothek,library
das Bürgerbüro,local city office
der Bus,bus
die Bushaltestelle,bus stop
das Café,café
dafür,for that
dritte,third
die Durchsage,announcement
einfach,easy
die Einzelfahrkarte,single ticket
erste,first
der Erwachsene,adult
fahren,to travel
der Fahrgast,passenger
die Fahrkarte,travel ticket
das Fahrrad,bicycle
fallen,to fall
fast,nearly
der Flughafen,airport
das Gebäude,building
geben,to give
gegenüber,opposite
geradeaus,straight ahead
das Gleis,platform
gültig,valid
halten,to stop
die Haltestelle,stop/station
der Hauptbahnhof,main train station
hinter,behind
das Hotel,hotel
der Informationsschalter,information desk
der Intercity (IC),intercity
das Jobcenter,job centre
das Kino,cinema
die Kirche,church
das Krankenhaus,hospital
die Krankenkasse,health insurance
die Kreuzung,crossroads
die Kurzstrecke,short-haul
die Linie,line
links,left
die Lösung,solution
der Meter,metre
der Metzger,butcher
die Minute,minute
die Mobilität,mobility
das Motorrad,motorcycle
nachfragen,to ask about
nächster, nächste, nächstes,next
nichts,nothing
öffentlich,public
die Orientierung,orientation/bearings
der Park,park
die Parkgebühr,parking fee
der Parkplatz,car park
die Polizei,police
die Post,post office
praktisch,practical
rechts,right
das Rathaus,city hall
die Regionalbahn,regional train
das Restaurant,restaurant
die Ruhe,quiet
der Schienenersatzverkehr,replacement bus service
das Schwimmbad,swimming pool
selten,rarely
sowieso,anyway
später,later
der Stadtplan,city map
der Stadtwald,city forest
steigen,to climb
die Straßenbahn,tram
die Tageskarte,day ticket
das Taxi,taxi
überall,everywhere
umsteigen,to change
ungefähr,around
unter,under
die Verfügung,availability
das Verkehrsmittel,means of transport
verstanden,understood
verzögern,to delay
die Volkshochschule (VHS),adult education centre
voll,full
vorbei,past/over
vorne,at the front
warten,to wait
der Weg,path
der Winter,winter
der Wochenmarkt,weekly market
wohin,where to
wollen,to want
der Zug,train
zweimal,twice
zweite,second
zwischen,between
anfangen,to start
der Arbeitstag,work day
die Ausbildung,education
ausfüllen,to fill out
die Aushilfe,help
der Automechaniker,car mechanic (male)
die Automechanikerin,car mechanic (female)
backen,to bake
der Bäcker,baker (male)
die Bäckerin,baker (female)
bald,soon
berichten,to report
der Beruf,career
